evtype,name
thunderstorm windshail,thunderstorm wind
thunderstorm windss,thunderstorm wind
thunderstorm wins,thunderstorm wind
thunderstorms,thunderstorm wind
thunderstorms wind,thunderstorm wind
thunderstorms winds,thunderstorm wind
thunderstormw,thunderstorm wind
thunderstormwinds,thunderstorm wind
thunderstrom wind,thunderstorm wind
thundertorm winds,thunderstorm wind
thunerstorm winds,thunderstorm wind
tidal flooding,flood
tornado,tornado
tornado f0,tornado
tornado f1,tornado
tornado f2,tornado
tornado f3,tornado
tornadoes,tornado
"tornadoes, tstm wind, hail",tornado
torndao,tornado
torrential rainfall,rain
tropical depression,tropical depression
tropical storm,tropical storm
tropical storm alberto,tropical storm
tropical storm dean,tropical storm
tropical storm gordon,tropical storm
tropical storm jerry,tropical storm
tstm wind,thunderstorm wind
tstm wind  (g45),thunderstorm wind
tstm wind (41),thunderstorm wind
tstm wind (g35),thunderstorm wind
tstm wind (g40),thunderstorm wind
tstm wind (g45),thunderstorm wind
tstm wind 40,thunderstorm wind
tstm wind 45,thunderstorm wind
tstm wind 55,thunderstorm wind
tstm wind 65),thunderstorm wind
tstm wind and lightning,thunderstorm wind
tstm wind damage,thunderstorm wind
tstm wind g45,thunderstorm wind
tstm wind g58,thunderstorm wind
tstm wind/hail,thunderstorm wind
tstm winds,thunderstorm wind
tstmw,thunderstorm wind
tsunami,tsunami
tunderstorm wind,thunderstorm wind
typhoon,hurricane
unseasonable cold,cold
unseasonably cold,cold
unseasonably warm,warm weather
unseasonably warm and dry,warm weather
unseasonal rain,rain
urban and small,flood
urban and small stream floodin,flood
urban flood,flood
urban flooding,flood
urban floods,flood
urban small,flood
urban/small stream,flood
urban/small stream flood,flood
urban/sml stream fld,flood
volcanic ash,volcanic ash
warm weather,warm weather
waterspout,waterspout
waterspout-,waterspout
waterspout tornado,waterspout
waterspout/ tornado,waterspout
waterspout/tornado,waterspout
waterspout-tornado,waterspout
wet microburst,downburst
whirlwind,whirlwind
wild fires,wildfire
wild/forest fire,wildfire
wild/forest fires,wildfire
wildfire,wildfire
wildfires,wildfire
wind,high wind
wind and wave,high wind
wind damage,high wind
wind storm,strong wind
wind/hail,high wind
winds,high wind
winter storm,winter storm
winter storm high winds,winter storm
winter storms,winter storm
winter weather,winter weather
winter weather mix,winter weather
winter weather/mix,winter weather
wintry mix,winter weather
